004/2016, 08/01/2016, 23/2012, 15/06/2012
006/2016, 08/01/2016, 23/2012, 15/06/2012
24/03, 20/05/2009, 22/2002, 09/07/2002
24/03, 20/05/2009, 37/01, 10/09/2007
24/03, 20/05/2009, 18/03, 10/09/2007
25/03, 20/5/2009, 22/2002, 09/07/2002
25/03, 20/5/2009, 37/01, 10/09/2007
25/03, 20/5/2009, 18/03, 10/09/2007
22/03, 20/05/2009, 22/2002, 09/07/2002
22/03, 20/05/2009, 37/01, 10/09/2007
22/03, 20/05/2009, 18/03, 10/09/2007
21/03, 20/05/2009, 22/2002, 09/07/2002
21/03, 20/05/2009, 37/01, 10/09/2007
21/03, 20/05/2009, 18/03, 10/09/2007
08/01, 31/03/2009, 22/2002, 09/07/2002
29/03, 20/5/2009, 22/2002, 09/07/2002
29/03, 20/5/2009, 37/01, 10/09/2007
29/03, 20/5/2009, 18/03, 10/09/2007
29/03, 20/5/2009, 05, 01/02/2016
29/03, 20/5/2009, 05, 01/02/2016
29/03, 20/5/2009, 04/2005, 08/04/2005
16/2005, 18/08/2005, 15/97, 8/11/1997
16/2005, 18/08/2005, 16/2005, 18/08/2005
19/01, 31/03/2009, 51/2007, 20/09/2007
44/11, 30/03/2009, 20/2000, 26/07/2000
44/11, 30/03/2009, 27/01, 18/07/2004
44/11, 30/03/2009, 067/17, 06/12/2002
001/2016, 18/05/2016, 40/2008, 26/08/2008
001/2016, 18/05/2016, 31/2015, 05/06/2015
28, 19/03/2009, 31/2001, 12/6/2001
28, 19/03/2009, 27/01, 18/07/2004
25/2005, 04/12/2005, 25/2005, 04/12/2005
25/2005, 04/12/2005, 002/2007, 15/06/2007
25/2005, 04/12/2005, 25/2005, 04/12/2005
03/2016, 24/06/2016, 55/2007, 30/11/2007
03/2016, 24/06/2016, 007/2008, 08/04/2008
6/11, 27/01/2009, 20/2000, 26/07/200
6/11, 27/01/2009, 27/01, 18/07/2004
6/11, 27/01/2009, 129/11, 24/11/2005
23/03, 20/05/2009, 22/2002, 09/07/2002
23/03, 20/05/2009, 37/01, 10/09/2007
23/03, 20/05/2009, 18/03, 10/09/2007
18/01, 31/03/2009, 51/2007, 20/09/2007
001/2016, 08/01/2016, 23/2012, 15/06/2012
26/03, 20/05/2009, 22/2002, 09/07/2002
26/03, 20/05/2009, 37/01, 10/09/2007
26/03, 20/05/2009, 18/03, 10/09/2007
20/2009, 29/07/2009, 8/2005, 14/07/2005
20/2009, 29/07/2009, 14/2004, 26/05/2005
20/2009, 29/07/2009, 04/2005, 08/04/2005
20/2009, 29/07/2009, 29/2005, 31/12/2005
20/2009, 29/07/2009, 10/2006, 03/03/2006
20/2009, 29/07/2009, 08/2006, 24/02/2006
003/2016, 08/01/2016, 23/2012, 15/06/2012
003/2016, 08/01/2016, 87/2013, 11/09/2013
28/03, 20/05/2009, 22/2002, 09/07/2002
28/03, 20/05/2009, 37/01, 10/09/2007
28/03, 20/05/2009, 18/03, 10/09/2007
20/01, 31/03/2009, 51/2007, 20/09/2007
60/11, 18/04/2008, 20/2000, 26/07/2000
60/11, 18/04/2008, 27/01, 18/07/2004
45/2015, 15/10/2015, 04/2005, 08/04/2005
45/2015, 15/10/2015, 43/2013, 16/06/2013
45/2015, 15/10/2015, 47bis/2013, 28/06/2013
45/2015, 15/10/2015, 05, 01/02/2016
002/2016, 08/01/2016, 23/2012, 15/06/2012
001/01, 14/01/2016, 46/2010, 14/12/2010
001/01, 14/01/2016, 03/01, 14/01/2013
10/2011, 13/05/2011, 10/2011, 13/05/2011
10/2011, 13/05/2011, 05, 01/02/2016





